start,end,speaker,text
0.00,2.00,CHI,充電ちゃんと
4.00,6.00,CHI,ママと
8.00,10.00,CHI,充電ちゃんと
11.00,13.00,CHI,充電ちゃんと
15.00,17.00,CHI,充電ちゃんと
19.00,24.00,CHI,党たくんでしょ?
25.00,27.00,MOT,効果くんじゃない?党たくん
30.00,32.00,MOT,充電ちゃんと
36.00,38.00,MOT,充電ちゃんと
40.00,42.00,MOT,充電ちゃんと
44.00,46.00,MOT,党と
52.00,54.00,MOT,もう始まるのか?
55.00,59.00,MOT,パパどの人って言われたんだけど 充電ちゃんのパパ
60.00,64.00,MOT,今日ね、ちょっとね、弁具が いつもより狭いですよ
65.00,67.00,CHI,パパいっぱい行くのない
67.00,73.00,MOT,今、充電ちゃんがいるあたり から、今、充電ちゃんがいる 充電ちゃんがいるあたり
75.00,77.00,MOT,かな?
78.00,80.00,MOT,部屋でましたね、動かないし
82.00,86.00,MOT,バラン取って バラン取って
88.00,90.00,MOT,バラン取って
91.00,93.00,MOT,バラン取って
94.00,116.00,MOT,風船の上にあったよ 取る? 風船取るな? 取って はい、どうぞ はい よし ありがとうございました すみませんでした これじゃあもういいですか? はい
117.00,119.00,MOT,はい
119.00,127.00,CHI,はい はい、じゃあ はい 充電ちゃん、お腹が空いた
127.00,131.00,MOT,ほうど ちょっとお腹が空いた
133.00,135.00,MOT,充電ちゃんのパパバイバイ
136.00,146.00,MOT,充電ちゃんのパパバイバイバイ パイパイ? あと あとで来るよ あとで来るよ
147.00,181.00,MOT,え? チリンチリ? チリンチリ後で行くけど 充電ちゃんのパパね またね、ほら取りに来るカメラ またね 母さんと遊んだ あとにまた取りに来るからね またね 大丈夫でしょ? はい、締め バイバイ バイバイ ババ ボタンでしょ? 道、葉っぱはどれ? 葉っぱ
183.00,233.00,MOT,葉っぱは? あったー ぶどうは? ぶどうは? ぶどうはった ぶどうはったね 何がある? 何がある? これ何? 何? これ何でしょ? 何? 何? 何? 道すごい いっちりあかってるよ お片付けしよ お片付け お片付け さあさみ 何?お片付け お片付け お片付け さあさみ 何を片付け
233.00,241.00,CHI,お片付け お片付け さあさみ 何を片付け
242.00,250.00,CHI,お片付け お片付け さあさみ 何を片付け
250.00,371.00,MOT,お片付け お片付け いっちりお片付け出来た? じゃあ英語の方見よっか。 英語の方、これ何これ? で。 で。 でんしなってやろ。 で。 やる? 大きいって。 広げて合わせてたたい。 で。 でんからっててて。 でんしのっててて。 おでこにってててて。 ほっぺたにててて。 てぴょうしてまねきててて。 てぴょうしてててて。 てんからっててて。 ぺなひらいけでてをうてば。 てんぐがでてててんつくてん。 てんてててててててててててててんしなっててて、 できた。 てんし、てんしのてんね、これ。 てんしのてん。 みちんほら見ててんし。 てんし頭にほらわか持ってるわっかてんし、ね。 ん
373.00,379.00,CHI,ガンガル ガンガル それはね、ジャガー、タイガー
379.00,381.00,MOT,タイガー
383.00,389.00,MOT,ガンガル道わかる? これは王様 キング王様よ
391.00,403.00,MOT,これは? 羊 羊 スジ メーリーさんの ひつち
