metric_id,session_id,speaker_role,value,unit,notes
BASIC_TOKENS_PER_TURN,10129,BOTH,12.734138972809667,tokens_per_turn,(CHI + MOT) n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10129,CHI,12.054151624548737,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10129,MOT,16.22222222222222,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10225,BOTH,16.2332361516035,tokens_per_turn,(CHI + MOT) n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10225,CHI,14.967532467532468,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10225,MOT,27.37142857142857,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10421,BOTH,9.48,tokens_per_turn,(CHI + MOT) n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10421,CHI,5.9689922480620154,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10421,MOT,10.623737373737374,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10622,BOTH,77.53571428571429,tokens_per_turn,(CHI + MOT) n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10622,CHI,103.57894736842105,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10622,MOT,22.555555555555557,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10928,BOTH,20.80674846625767,tokens_per_turn,(CHI + MOT) n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10928,CHI,5.658536585365853,tokens_per_turn,n_tokens / n_utts from turns.csv
BASIC_TOKENS_PER_TURN,10928,MOT,25.897540983606557,tokens_per_turn,n_tokens / n_utts from turns.csv
